mol,rmsd,hitmap,ID,Active
S(=O)(=O)(C)c1c(CNC(=O)C2=C(O)C(=O)N3C(C4(CCC3)CCCC4)=N2)ccc(F)c1,0.48221475,33 48 47 49,Active_175,1
Fc1ccc(Cc2cnc3C(O)=C(C(=O)NCCNC(=O)C)C(=O)N(C)c3c2)cc1,0.41962564,33 37 38 39,Active_181,1
S(=O)(=O)(N1CCOCC1)c1c(CNC(=O)C2=C(O)C(=O)N3C(C4(CCC3)CCCC4)=N2)ccc(F)c1,0.48242587,38 56 55 57,Active_184,1
S=C1N(C(C(=O)O)Cc2ccccc2)C(=O)/C(=C\2/C(=O)N(CC(=O)O)c3c/2cccc3)/S1,0.41963375,35 38 39 40,Active_190,1
S(CC(=O)O)c1nc(c(-c2occc2)nn1)-c1occc1,0.22901091,22 25 26 27,Active_191,1
Clc1ccc(-c2c(C#N)c(SCC(=O)O)nc(-c3ccccc3)c2)cc1,0.22904156,31 34 35 36,Active_192,1
O=C(NCc1ccc(C)cc1)c1c(O)c(O)nc(-c2sccc2)n1,0.56733471,28 32 29 31,Active_194,1
O=C(NCc1c2c(sc1)cccc2)c1c(O)c(O)nc(-c2sccc2)n1,0.74236017,30 39 31 33,Active_197,1
O=C(NCc1c2c([nH]c1)cccc2)c1c(O)c(O)nc(-c2sccc2)n1,0.71430498,27 39 31 33,Active_198,1
Fc1ccc(CNC(=O)c2c(O)c3ncccc3c(NCCN(C(=O)C)C)c2)cc1,0.39511597,31 41 42 43,Active_200,1
O=C(c1c(O)c2ncccc2cn1)c1cc(Cc2ccccc2)ccc1,0.53724223,27 38 32 34,Active_201,1
Fc1cc(N2S(=O)(=O)N(C)C(C)(C)C2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56735522,43 54 50 52,Active_202,1
Fc1ccc(CN2C(=O)c3c(O)c4ncccc4c(C(=O)N4CCOCC4)c3C2)cc1,0.59760475,38 49 39 41,Active_203,1
Fc1cc(N2S(=O)(=O)N(C(C)(C)C)CC2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56763154,42 58 59 61,Active_204,1
Fc1cc(N2S(=O)(=O)N(C)C(C)(C)C2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.5676983,44 55 51 53,Active_205,1
O=C(Nc1cc2C(=O)N(O)C(=O)Cc2cc1)Cc1ccccc1,0.31656677,25 31 32 33,Active_207,1
Fc1ccc(CC(=O)Nc2cc3C(=O)N(O)C(=O)Cc3cc2)cc1,0.31656677,26 32 33 34,Active_209,1
Clc1c(F)c(Cc2cc3C(=O)C(C(=O)O)=CN([C@H](C(C)C)CO)c3cc2)ccc1,0.44994605,35 43 44 41,Active_210,1
Clc1c(F)c(Cc2cc3C(=O)C(C(=O)O)=CNc3cc2)ccc1,0.34398842,26 32 31 29,Active_211,1
Fc1cc(N2S(=O)(=O)N(C(C)(C)C)CC2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.56732321,43 59 60 62,Active_212,1
Fc1cc(CNC(=O)c2c(O)c(O)nc(-c3sccc3)n2)ccc1,0.74262065,27 36 28 30,Active_213,1
O=C(Nc1cc(OC)ccc1)c1c(N)c2c(s1)NC(=O)C(C(=O)O)=C2,0.33783099,28 40 39 37,Active_215,1
Clc1c(Cl)ccc(NC(=O)c2c(N)c3c(s2)NC(=O)C(C(=O)O)=C3)c1,0.33783099,28 40 39 37,Active_216,1
Fc1ccc(CNC(=O)c2c(O)c3ncccc3cc2)cc1,0.74262065,26 32 27 29,Active_217,1
O=C(c1c(O)c2ncccc2cc1)c1cc(Cc2ccccc2)ccc1,0.53724223,27 37 32 34,Active_218,1
O=C(NCc1cc(OC)ccc1)c1c(O)c(O)nc(-c2sccc2)n1,0.56732959,29 34 31 33,Active_219,1
Fc1c(CC2=CN(Cc3c(F)cccc3)C(=O)C(/C(/O)=C/C(=O)C(=O)N[C@H]3[C@H](O)CCC3)=C2)ccc(F)c1,0.61515546,43 56 48 55,Active_220,1
O=C(NCc1c(OC)cccc1)c1c(O)c(O)nc(-c2sccc2)n1,0.74218482,29 39 30 33,Active_221,1
S(=O)(=O)(N(C)C)c1c(CNC(=O)C2=C(O)C(=O)N3C(C4(CCC3)CCCC4)=N2)ccc(F)c1,0.48242587,35 51 50 52,Active_224,1
